Name,Opp.,Berry,Karabell,Yates,Cockcroft,Clay,Bell,Avg,Position
"53. Nyheim Hines, Ind",@Phi,NR,NR,44,NR,NR,NR,49.8,RB
"53. Chase Edmonds, Ari",Chi,48,NR,NR,NR,47,NR,49.8,RB
"55. Ty Montgomery, GB",@Wsh,NR,NR,NR,NR,NR,45,50,RB
"56. C.J. Anderson, Car",Cin,NR,NR,NR,48,NR,49,50.2,RB
"57. Nick Chubb, Cle",NYJ,NR,NR,NR,NR,NR,50,50.8,RB
"1. Antonio Brown, Pit",@TB,2,1,1,1,1,2,1.3,WR
"2. Michael Thomas, NO",@Atl,1,2,2,2,2,1,1.7,WR
"3. Julio Jones, Atl  Q",NO,5,3,3,3,3,4,3.5,WR
"4. DeAndre Hopkins, Hou  Q",NYG,3,4,4,5,5,3,4,WR
"5. Odell Beckham Jr., NYG",@Hou,4,5,5,4,4,5,4.5,WR
"6. Tyreek Hill, KC",SF,6,6,8,7,7,8,7,WR
"7. A.J. Green, Cin",@Car,7,9,7,6,6,9,7.3,WR
"8. Mike Evans, TB",Pit,8,8,6,9,9,10,8.3,WR
"9. Keenan Allen, LAC",@LAR,12,7,9,11,8,6,8.8,WR
"10. Adam Thielen, Min",Buf,9,11,13,8,11,7,9.8,WR
"11. Davante Adams, GB",@Wsh,13,10,11,12,10,12,11.3,WR
"12. Stefon Diggs, Min",Buf,11,12,10,13,14,11,11.8,WR
"13. JuJu Smith-Schuster, Pit",@TB,10,15,14,10,13,16,13,WR
"14. T.Y. Hilton, Ind  Q",@Phi,17,13,12,15,12,13,13.7,WR
"15. Jarvis Landry, Cle  Q",NYJ,19,14,15,14,22,14,16.3,WR
"16. Golden Tate, Det",NE,18,16,16,16,15,23,17.3,WR
"17. Allen Robinson, Chi",@Ari,16,17,22,22,21,15,18.8,WR
"18. Nelson Agholor, Phi",Ind,14,27,19,19,18,18,19.2,WR
"19. Amari Cooper, Oak",@Mia,21,20,17,18,19,21,19.3,WR
"20. Emmanuel Sanders, Den",@Bal,15,21,20,17,20,24,19.5,WR
"21. Larry Fitzgerald, Ari  Q",Chi,25,19,18,24,17,19,20.3,WR
"22. Demaryius Thomas, Den",@Bal,24,18,24,20,24,17,21.2,WR
"23. Brandin Cooks, LAR",LAC,22,29,23,21,23,20,23,WR
"24. Marvin Jones Jr., Det",NE,27,22,27,23,16,32,24.5,WR
"24. Kenny Golladay, Det",NE,20,26,25,26,25,25,24.5,WR
"26. Chris Hogan, NE",@Det,23,23,21,25,34,22,24.7,WR
"27. Quincy Enunwa, NYJ",@Cle,26,31,32,29,29,26,28.8,WR
"28. Randall Cobb, GB",@Wsh,30,25,36,28,28,28,29.2,WR
"29. Cooper Kupp, LAR",LAC,28,32,31,27,26,36,30,WR
"30. Robert Woods, LAR",LAC,32,39,29,31,27,29,31.2,WR
"31. Michael Crabtree, Bal",Den,38,24,28,32,44,27,32.2,WR
"31. Devin Funchess, Car",Cin,31,28,26,37,37,34,32.2,WR
"33. Marquise Goodwin, SF  Q",@KC,40,34,30,30,31,40,34.2,WR
"34. Will Fuller V, Hou  Q",NYG,29,33,37,40,30,37,34.3,WR
"35. Keelan Cole, Jax",Ten,35,37,39,39,32,30,35.3,WR
"36. Corey Davis, Ten",@Jax,NR,30,34,36,33,31,35.8,WR
"37. DeSean Jackson, TB",Pit,33,40,33,34,43,38,36.8,WR
"38. Kenny Stills, Mia",Oak,37,36,44,33,38,39,37.8,WR
"39. Sammy Watkins, KC",SF,39,41,35,38,36,42,38.5,WR
"40. Pierre Garcon, SF",@KC,34,42,42,35,35,44,38.7,WR
"41. Josh Gordon, NE  Q",@Det,42,35,43,NR,40,33,40.7,WR
